"Exhibit 1. Global average absolute sea level change, 1880-2021"
"Data source: CSIRO, 2015; NOAA, 2022"
"For a description of this indicator and for technical documentation, visit EPA's Report on the Environment at www.epa.gov/roe."
"Units: inches"

"Year","Trend based on tide gauges","95% confidence interval","","Satellite measurements"
"1880","0","-1.867401573","1.867401573","null"
"1881","0.220472441","-1.646929132","2.087874014","null"
"1882","-0.440944881","-2.215748029","1.333858266","null"
"1883","-0.232283464","-1.991653541","1.527086613","null"
"1884","0.59055118","-1.122519684","2.303622045","null"
"1885","0.531496062","-1.158425196","2.221417321","null"
"1886","0.437007874","-1.168031495","2.042047242","null"
"1887","0.216535433","-1.388503936","1.821574801","null"
"1888","0.299212598","-1.30582677","1.904251967","null"
"1889","0.362204724","-1.242834644","1.967244092","null"
"1890","0.440944881","-1.156377952","2.038267714","null"
"1891","0.374015748","-1.223307085","1.971338581","null"
"1892","0.499999999","-1.097322834","2.097322833","null"
"1893","0.685039369","-0.881417322","2.251496061","null"
"1894","0.303149606","-1.363622046","1.969921258","null"
"1895","0.767716535","-0.899055117","2.434488186","null"
"1896","0.468503937","-1.167401574","2.104409447","null"
"1897","0.673228346","-0.931811023","2.278267714","null"
"1898","1.043307086","-0.476850393","2.563464564","null"
"1899","1.338582676","-0.158425197","2.835590548","null"
"1900","1.125984251","-0.286141732","2.538110234","null"
"1901","1.110236219","-0.247874015","2.468346454","null"
"1902","1.291338581","-0.043622047","2.62629921","null"
"1903","1.606299211","0.294488189","2.918110233","null"
"1904","1.2007874","-0.103307087","2.504881887","null"
"1905","0.984251968","-0.204094488","2.172598423","null"
"1906","1.251968503","0.117637795","2.38629921","null"
"1907","1.196850392","0.047086614","2.346614171","null"
"1908","1.098425196","-0.020472441","2.217322832","null"
"1909","1.27559055","0.148976378","2.402204722","null"
"1910","1.271653542","0.14503937","2.398267714","null"
"1911","1.598425195","0.502677165","2.694173226","null"
"1912","1.476377951","0.380629921","2.572125982","null"
"1913","1.547244093","0.459212598","2.635275588","null"
"1914","1.795275589","0.7303937","2.860157477","null"
"1915","2.10629921","1.056850393","3.155748028","null"
"1916","2.031496061","1.028346456","3.034645666","null"
"1917","1.854330707","0.866614172","2.842047241","null"
"1918","1.791338581","0.811338582","2.77133858","null"
"1919","1.854330707","0.874330708","2.834330706","null"
"1920","1.905511809","0.902362204","2.908661414","null"
"1921","1.988188974","0.977322834","2.999055115","null"
"1922","1.952755904","0.934173227","2.97133858","null"
"1923","1.999999998","0.996850393","3.003149603","null"
"1924","1.712598423","0.701732283","2.723464564","null"
"1925","1.791338581","0.741889763","2.840787399","null"
"1926","2.047244092","0.990078739","3.104409446","null"
"1927","2.003937006","1.008503936","2.999370076","null"
"1928","1.850393699","0.901259842","2.799527556","null"
"1929","1.905511809","0.971811023","2.839212596","null"
"1930","2.062992124","1.137007873","2.988976375","null"
"1931","2.047244092","1.105826771","2.988661414","null"
"1932","2.271653541","1.353385825","3.189921257","null"
"1933","2.440944879","1.530393699","3.35149606","null"
"1934","2.228346454","1.310078739","3.14661417","null"
"1935","2.448818895","1.53055118","3.367086611","null"
"1936","2.295275588","1.384724408","3.205826768","null"
"1937","2.519685037","1.609133857","3.430236217","null"
"1938","2.622047241","1.711496061","3.532598422","null"
"1939","2.826771651","1.885354329","3.768188973","null"
"1940","2.618110234","1.761574801","3.474645666","null"
"1941","3.098425194","2.265039368","3.93181102","null"
"1942","3.098425194","2.265039368","3.93181102","null"
"1943","3.098425194","2.265039368","3.93181102","null"
"1944","2.84645669","2.0207874","3.672125981","null"
"1945","2.95669291","2.13102362","3.782362201","null"
"1946","3.251968501","2.434015746","4.069921256","null"
"1947","3.374015745","2.633228344","4.114803145","null"
"1948","3.562992122","2.845354328","4.280629917","null"
"1949","3.51181102","2.863622044","4.159999996","null"
"1950","3.598425193","2.988818895","4.208031492","null"
"1951","3.972440941","3.370551178","4.574330704","null"
"1952","3.870078736","3.275905508","4.464251964","null"
"1953","4.043307082","3.464566926","4.622047239","null"
"1954","3.929133854","3.365826768","4.49244094","null"
"1955","3.964566925","3.41669291","4.51244094","null"
"1956","3.763779524","3.223622044","4.303937003","null"
"1957","4.291338578","3.758897634","4.823779523","null"
"1958","4.346456688","3.83716535","4.855748027","null"
"1959","4.358267712","3.856692909","4.859842515","null"
"1960","4.503937003","3.994645665","5.013228341","null"
"1961","4.748031491","4.238740153","5.257322829","null"
"1962","4.543307082","4.034015744","5.05259842","null"
"1963","4.480314956","3.971023618","4.989606294","null"
"1964","4.169291334","3.652283461","4.686299208","null"
"1965","4.610236216","4.093228342","5.127244089","null"
"1966","4.397637791","3.888346453","4.906929129","null"
"1967","4.452755901","3.951181098","4.954330704","null"
"1968","4.484251964","3.96724409","5.001259837","null"
"1969","4.751968499","4.211811019","5.292125979","null"
"1970","4.67716535","4.13700787","5.217322829","null"
"1971","4.881889759","4.349448814","5.414330703","null"
"1972","5.240157475","4.707716531","5.772598419","null"
"1973","5.003937003","4.479212594","5.528661412","null"
"1974","5.472440939","4.94771653","5.997165348","null"
"1975","5.409448813","4.89244094","5.926456687","null"
"1976","5.370078735","4.845354326","5.894803144","null"
"1977","5.303149601","4.793858263","5.812440939","null"
"1978","5.555118105","5.038110231","6.072125978","null"
"1979","5.362204719","4.845196845","5.879212592","null"
"1980","5.598425191","5.096850389","6.099999994","null"
"1981","6.086614167","5.585039364","6.58818897","null"
"1982","5.858267711","5.372125979","6.344409442","null"
"1983","6.188976372","5.687401569","6.690551174","null"
"1984","6.153543301","5.667401569","6.639685033","null"
"1985","5.74803149","5.261889758","6.234173222","null"
"1986","5.771653537","5.285511806","6.257795269","null"
"1987","5.795275585","5.316850388","6.273700781","null"
"1988","5.980314955","5.494173223","6.466456686","null"
"1989","6.157480309","5.663622041","6.651338576","null"
"1990","6.24803149","5.746456687","6.749606292","null"
"1991","6.346456686","5.844881884","6.848031489","null"
"1992","6.374015742","5.864724403","6.88330708","null"
"1993","6.3031496","5.793858262","6.812440938","6.306781039"
"1994","6.507874009","5.998582671","7.017165347","6.438651665"
"1995","6.622047237","6.112755899","7.131338575","6.57674495"
"1996","6.78346456","6.274173222","7.292755898","6.723710173"
"1997","7.059055111","6.549763773","7.568346449","6.779514525"
"1998","6.669291332","6.144566923","7.194015741","6.770265291"
"1999","7.003937001","6.479212592","7.52866141","6.840497137"
"2000","7.055118103","6.530393694","7.579842512","6.919122465"
"2001","7.271653536","6.754645662","7.788661409","7.116325549"
"2002","7.366141725","6.841417316","7.890866134","7.258223788"
"2003","7.728346449","7.195905504","8.260787393","7.410511627"
"2004","7.712598417","7.180157473","8.245039362","7.465565214"
"2005","7.716535425","7.191811016","8.241259834","7.566645782"
"2006","7.885826764","7.361102355","8.410551173","7.678404507"
"2007","7.960629913","7.412755898","8.508503928","7.674412818"
"2008","8.303149598","7.778425189","8.827874007","7.828383728"
"2009","8.531496054","7.99905511","9.063936999","7.973212968"
"2010","8.83464566","8.286771645","9.382519675","8.03087412"
"2011","8.897637786","8.318897629","9.476377943","7.966928207"
"2012","9.244094479","8.603622038","9.884566919","8.362109902"
"2013","8.913385818","8.226614165","9.600157471","8.453537927"
"2014","null","null","null","8.579036068"
"2015","null","null","null","8.92498423"
"2016","null","null","null","9.048398764"
"2017","null","null","null","9.11098598"
"2018","null","null","null","9.234520538"
"2019","null","null","null","9.480222637"
"2020","null","null","null","9.592476574"
"2021","null","null","null","9.797220121"
