Year,Latitude,Longitude,Station name,State,Relative sea level change
2023,21.9544,-159.356,Nawiliwili,Hawaii,4.439763775
2023,21.9544,-157.865,Honolulu,Hawaii,3.819685035
2023,21.9544,-157.79,Mokuoloe,Hawaii,4.11732283
2023,21.9544,-156.469,Kahului,Hawaii,5.481496057
2023,21.9544,-155.056,Hilo,Hawaii,7.71377952
2023,21.9544,-177.36,Midway Atoll,Pacific Ocean,3.869291335
2023,21.9544,167.7361,Kwajalein,Marshall Islands,5.109448814
2023,21.9544,166.6175,Wake Island,Pacific Ocean,5.134251963
2023,21.9544,-64.695,Biological Station,Bermuda,5.605511805
2023,21.9544,-66.9829,Eastport,Maine,5.655118104
2023,21.9544,-68.2043,Bar Harbor,Maine,5.952755899
2023,21.9544,-70.2442,Portland,Maine,4.836614168
2023,21.9544,-70.7411,Seavey Island,Maine,5.382283459
2023,21.9544,-71.0503,Boston,Massachusetts,7.292125977
2023,21.9544,-70.6711,Woods Hole,Massachusetts,7.614566921
2023,21.9544,-71.3261,Newport,Rhode Island,7.242519678
2023,21.9544,-71.4007,Providence,Rhode Island,6.349606293
2023,21.9544,-72.09,New London,Connecticut,7.11850393
2023,21.9544,-71.9594,Montauk,New York,8.755511802
2023,21.9544,-73.7649,Kings Point,New York,6.622440938
2023,21.9544,-74.0142,The Battery,New York,7.242519678
2023,21.9544,-74.0094,Sandy Hook,New Jersey,10.49173227
2023,21.9544,-74.4181,Atlantic City,New Jersey,10.44212597
2023,21.9544,-75.142,Philadelphia,Pennsylvania,7.71377952
2023,21.9544,-75.5719,Reedy Point,Delaware,9.648425187
2023,21.9544,-75.1193,Lewes,Delaware,9.201968495
2023,21.9544,-76.0617,Cambridge,Maryland,9.846850384
2023,21.9544,-76.5783,Baltimore,Maryland,8.110629913
2023,21.9544,-76.4816,Annapolis,Maryland,9.425196841
2023,21.9544,-76.4508,Solomons Island,Maryland,10.02047243
2023,21.9544,-77.0217,Washington,D. C.,8.656299204
2023,21.9544,-75.9884,Kiptopeke,Virginia,9.797244084
2023,21.9544,-76.4788,Yorktown,Virginia,11.93031495
2023,21.9544,-76.3286,Sewells Point,Virginia,11.88070865
2023,21.9544,-76.6707,Beaufort,North Carolina,8.805118101
2023,21.9544,-77.9536,Wilmington,North Carolina,6.771259836
2023,21.9544,-78.9164,Springmaid Pier,South Carolina,8.160236212
2023,21.9544,-79.9236,Charleston,South Carolina,8.631496054
2023,21.9544,-80.903,Fort Pulaski,Georgia,8.953936999
2023,21.9544,-81.4658,Fernandina Beach,Florida,5.655118104
2023,21.9544,-81.4279,Mayport,Florida,7.168110229
2023,21.9544,-80.1618,Virginia Key,Florida,7.837795268
2023,21.9544,-81.8079,Key West,Florida,6.473622041
2023,21.9544,-82.6269,St. Petersburg,Florida,7.664173221
2023,21.9544,-83.0317,Cedar Key,Florida,5.828740152
2023,21.9544,-87.2112,Pensacola,Florida,6.672047237
2023,21.9544,-89.9567,Grand Isle,Louisiana,22.71968502
2023,21.9544,-93.8418,Texas Point,Texas,14.33622046
2023,21.9544,-94.7247,Galveston Bay Entrance,Texas,16.27086613
2023,21.9544,-95.2942,Freeport Harbor,Texas,8.953936999
2023,21.9544,-97.0467,Rockport,Texas,14.8570866
2023,21.9544,-97.1675,South Padre Island,Texas,10.34291338
2023,21.9544,-97.2155,Port Isabel,Texas,10.71496062
2023,21.9544,-117.177,San Diego,California,5.531102357
2023,21.9544,-117.257,La Jolla,California,5.084645664
2023,21.9544,-118.273,Los Angeles,California,2.653937005
2023,21.9544,-118.5,Santa Monica,California,3.844488185
2023,21.9544,-120.76,Port San Luis,California,2.505118108
2023,21.9544,-122.466,San Francisco,California,4.935826767
2023,21.9544,-122.3,Alameda,California,2.281889761
2023,21.9544,-124.184,Crescent City,California,-1.934645667
2023,21.9544,-123.768,Astoria,Oregon,-0.347244094
2023,21.9544,-124.602,Neah Bay,Washington,-4.241338578
2023,21.9544,-122.339,Seattle,Washington,5.159055113
2023,21.9544,-123.013,Friday Harbor,Washington,2.9515748
2023,21.9544,-131.626,Ketchikan,Alaska,-0.892913385
2023,21.9544,-135.342,Sitka,Alaska,-6.076771647