Entity,Code,Year,"3.9.1 - Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population) - SH_AAP_ASMORT"
Afghanistan,AFG,2019,143
Algeria,DZA,2019,48
Angola,AGO,2019,60
Antigua and Barbuda,ATG,2019,19
Argentina,ARG,2019,29
Armenia,ARM,2019,70
Australia,AUS,2019,10
Austria,AUT,2019,17
Azerbaijan,AZE,2019,114
Bahamas,BHS,2019,10
Bahrain,BHR,2019,68
Bangladesh,BGD,2019,66
Barbados,BRB,2019,19
Belarus,BLR,2019,68
Belgium,BEL,2019,15
Belize,BLZ,2019,21
Benin,BEN,2019,77
Bhutan,BTN,2019,57
Bolivia,BOL,2019,54
Bosnia and Herzegovina,BIH,2019,55
Botswana,BWA,2019,55
Brazil,BRA,2019,23
Brunei,BRN,2019,20
Bulgaria,BGR,2019,63
Burkina Faso,BFA,2019,84
Burundi,BDI,2019,71
Cambodia,KHM,2019,60
Cameroon,CMR,2019,101
Canada,CAN,2019,8
Cape Verde,CPV,2019,59
Central African Republic,CAF,2019,98
Central and Southern Asia (UN),,2019,84
Chad,TCD,2019,95
Chile,CHL,2019,18
China,CHN,2019,64
Colombia,COL,2019,24
Comoros,COM,2019,46
Congo,COG,2019,66
Costa Rica,CRI,2019,15
Cote d'Ivoire,CIV,2019,86
Croatia,HRV,2019,31
Cuba,CUB,2019,31
Cyprus,CYP,2019,16
Czechia,CZE,2019,33
Democratic Republic of Congo,COD,2019,72
Denmark,DNK,2019,13
Djibouti,DJI,2019,59
Dominican Republic,DOM,2019,27
East Timor,TLS,2019,61
Eastern and South-Eastern Asia (UN),,2019,60
Ecuador,ECU,2019,23
Egypt,EGY,2019,105
El Salvador,SLV,2019,31
Equatorial Guinea,GNQ,2019,59
Eritrea,ERI,2019,78
Estonia,EST,2019,13
Eswatini,SWZ,2019,66
Ethiopia,ETH,2019,46
Europe (UN),,2019,27
Europe and Northern America (UN),,2019,23
Fiji,FJI,2019,37
Finland,FIN,2019,7
France,FRA,2019,10
Gabon,GAB,2019,53
Gambia,GMB,2019,90
Georgia,GEO,2019,69
Germany,DEU,2019,15
Ghana,GHA,2019,89
Greece,GRC,2019,23
Grenada,GRD,2019,30
Guatemala,GTM,2019,40
Guinea,GIN,2019,94
Guinea-Bissau,GNB,2019,89
Guyana,GUY,2019,52
Haiti,HTI,2019,50
Honduras,HND,2019,49
Hungary,HUN,2019,42
Iceland,ISL,2019,8
India,IND,2019,83
Indonesia,IDN,2019,58
Iran,IRN,2019,51
Iraq,IRQ,2019,87
Ireland,IRL,2019,13
Israel,ISR,2019,15
Italy,ITA,2019,15
Jamaica,JAM,2019,22
Japan,JPN,2019,12
Jordan,JOR,2019,38
Kazakhstan,KAZ,2019,68
Kenya,KEN,2019,33
Kiribati,KIR,2019,49
Kuwait,KWT,2019,45
Kyrgyzstan,KGZ,2019,88
Laos,LAO,2019,69
Latin America and the Caribbean (UN),,2019,27
Latvia,LVA,2019,40
Least Developed Countries (LDCs),,2019,34
Lebanon,LBN,2019,59
Lesotho,LSO,2019,100
Liberia,LBR,2019,60
Libya,LBY,2019,54
Lithuania,LTU,2019,39
Luxembourg,LUX,2019,13
Madagascar,MDG,2019,58
Malawi,MWI,2019,43
Malaysia,MYS,2019,63
Maldives,MDV,2019,29
Mali,MLI,2019,65
Malta,MLT,2019,21
Mauritania,MRT,2019,62
Mauritius,MUS,2019,28
Mexico,MEX,2019,30
Micronesia (country),FSM,2019,54
Moldova,MDA,2019,58
Mongolia,MNG,2019,120
Montenegro,MNE,2019,60
Morocco,MAR,2019,59
Mozambique,MOZ,2019,64
Myanmar,MMR,2019,71
Namibia,NAM,2019,43
Nepal,NPL,2019,76
Netherlands,NLD,2019,13
New Zealand,NZL,2019,12
Nicaragua,NIC,2019,38
Niger,NER,2019,93
Nigeria,NGA,2019,77
North Korea,PRK,2019,86
North Macedonia,MKD,2019,62
Northern Africa (UN),,2019,78
Northern America (UN),,2019,14
Norway,NOR,2019,8
Oceania (UN),,2019,18
Oman,OMN,2019,104
Pakistan,PAK,2019,105
Panama,PAN,2019,17
Papua New Guinea,PNG,2019,38
Paraguay,PRY,2019,25
Peru,PER,2019,26
Philippines,PHL,2019,92
Poland,POL,2019,41
Portugal,PRT,2019,10
Qatar,QAT,2019,91
Romania,ROU,2019,46
Russia,RUS,2019,39
Rwanda,RWA,2019,62
Saint Lucia,LCA,2019,20
Saint Vincent and the Grenadines,VCT,2019,25
Samoa,WSM,2019,34
Sao Tome and Principe,STP,2019,85
Saudi Arabia,SAU,2019,91
Senegal,SEN,2019,65
Serbia,SRB,2019,45
Seychelles,SYC,2019,43
Sierra Leone,SLE,2019,97
Singapore,SGP,2019,23
Slovakia,SVK,2019,30
Slovenia,SVN,2019,19
Small Island Developing States (SIDS),,2019,34
Solomon Islands,SLB,2019,57
Somalia,SOM,2019,64
South Africa,ZAF,2019,47
South Korea,KOR,2019,19
South Sudan,SSD,2019,41
Spain,ESP,2019,10
Sri Lanka,LKA,2019,37
Sub-Saharan Africa (UN),,2019,65
Sudan,SDN,2019,70
Suriname,SUR,2019,39
Sweden,SWE,2019,8
Switzerland,CHE,2019,10
Syria,SYR,2019,83
Tajikistan,TJK,2019,159
Tanzania,TZA,2019,36
Thailand,THA,2019,29
Togo,TGO,2019,91
Tonga,TON,2019,24
Trinidad and Tobago,TTO,2019,20
Tunisia,TUN,2019,55
Turkey,TUR,2019,39
Turkmenistan,TKM,2019,87
Uganda,UGA,2019,60
Ukraine,UKR,2019,66
United Arab Emirates,ARE,2019,70
United Kingdom,GBR,2019,13
United States,USA,2019,14
Uruguay,URY,2019,16
Uzbekistan,UZB,2019,117
Vanuatu,VUT,2019,57
Venezuela,VEN,2019,32
Vietnam,VNM,2019,52
World,OWID_WRL,2019,59
Yemen,YEM,2019,109
Zambia,ZMB,2019,50
Zimbabwe,ZWE,2019,56